Forecasted On,Date,Store ID,Product ID,Category,Region,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Demand Forecast
27/12/23,28/12/23,S001,P0096,Toys,East,86.27,20,Sunny,1,87.76,Winter,28.13
27/12/23,28/12/23,S001,P0016,Clothing,East,92.02,20,Cloudy,0,91.69,Winter,20.33
27/12/23,28/12/23,S001,P0031,Electronics,East,115.76,10,Sunny,0,119.61,Winter,22.2
27/12/23,28/12/23,S001,P0159,Electronics,East,81.42,20,Sunny,0,81.56,Winter,29.97
27/12/23,28/12/23,S001,P0129,Furniture,East,122.71,20,Sunny,0,125.33,Winter,16.29
27/12/23,28/12/23,S001,P0116,Furniture,East,114.72,5,Cloudy,0,110.55,Winter,19.13
27/12/23,28/12/23,S001,P0070,Electronics,East,160.32,20,Snowy,0,156.3,Winter,15.56
27/12/23,28/12/23,S001,P0171,Electronics,East,158.53,10,Snowy,0,162.41,Winter,13.92
27/12/23,28/12/23,S001,P0175,Electronics,East,124.52,5,Cloudy,0,126.65,Winter,18.81
27/12/23,28/12/23,S001,P0046,Clothing,East,142.67,15,Cloudy,1,147.16,Winter,19.61
27/12/23,28/12/23,S001,P0067,Furniture,East,89.61,5,Rainy,0,92.72,Winter,20.85
27/12/23,28/12/23,S001,P0183,Electronics,East,71.74,5,Rainy,0,70.57,Winter,31.36
27/12/23,28/12/23,S001,P0166,Groceries,East,83.26,0,Cloudy,1,82.44,Winter,29.9
27/12/23,28/12/23,S001,P0079,Furniture,East,102.39,10,Cloudy,0,105.09,Winter,17.31
27/12/23,28/12/23,S001,P0187,Clothing,East,145.43,15,Cloudy,0,151.18,Winter,12.92
27/12/23,28/12/23,S001,P0178,Clothing,East,120.96,10,Cloudy,0,125.64,Winter,16.64
27/12/23,28/12/23,S001,P0057,Clothing,East,121.78,5,Snowy,0,126.26,Winter,17.22
27/12/23,28/12/23,S001,P0153,Furniture,East,72.49,15,Rainy,0,73.24,Winter,24.21
27/12/23,28/12/23,S001,P0083,Toys,East,105.81,5,Rainy,1,110.38,Winter,21.69
27/12/23,28/12/23,S001,P0069,Clothing,East,200.63,0,Snowy,0,205.93,Winter,10.86
27/12/23,28/12/23,S001,P0125,Clothing,East,127.64,10,Sunny,0,122.04,Winter,17.49
27/12/23,28/12/23,S001,P0017,Toys,East,114.2,20,Sunny,0,114.8,Winter,19.03
27/12/23,28/12/23,S001,P0149,Furniture,East,138.93,20,Cloudy,0,143.32,Winter,13.65
27/12/23,28/12/23,S001,P0094,Groceries,East,156.59,10,Sunny,0,157.07,Winter,10.86
27/12/23,28/12/23,S001,P0066,Clothing,East,128.98,10,Sunny,0,126.82,Winter,13.31
27/12/23,28/12/23,S001,P0061,Clothing,East,174.45,10,Sunny,0,170.54,Winter,11.12
27/12/23,28/12/23,S001,P0085,Electronics,East,126.2,5,Snowy,1,122.93,Winter,21.72
27/12/23,28/12/23,S001,P0068,Electronics,East,121.17,0,Rainy,0,123.9,Winter,17.39
27/12/23,28/12/23,S001,P0126,Clothing,East,181.52,0,Sunny,1,181.38,Winter,14.07
27/12/23,28/12/23,S001,P0133,Clothing,East,195.91,20,Sunny,0,188.33,Winter,9.44
27/12/23,28/12/23,S002,P0096,Toys,West,85.02,0,Snowy,0,86.14,Winter,24.71
27/12/23,28/12/23,S002,P0016,Clothing,West,97.31,0,Sunny,0,93.71,Winter,19.59
27/12/23,28/12/23,S002,P0031,Electronics,West,112.61,15,Rainy,0,112.86,Winter,20.15
27/12/23,28/12/23,S002,P0159,Electronics,West,85.77,10,Cloudy,0,82.17,Winter,27.4
27/12/23,28/12/23,S002,P0129,Furniture,West,122.76,5,Sunny,0,120.1,Winter,16.04
27/12/23,28/12/23,S002,P0116,Furniture,West,106.92,20,Snowy,0,101.62,Winter,18.25
27/12/23,28/12/23,S002,P0070,Electronics,West,154.94,20,Rainy,1,154.58,Winter,19.64
27/12/23,28/12/23,S002,P0171,Electronics,West,152.32,20,Sunny,0,151.51,Winter,13.71
27/12/23,28/12/23,S002,P0175,Electronics,West,115.41,10,Rainy,0,111.57,Winter,18.49
27/12/23,28/12/23,S002,P0046,Clothing,West,133.33,15,Cloudy,0,128.29,Winter,12.8
27/12/23,28/12/23,S002,P0067,Furniture,West,91.42,0,Cloudy,0,90.29,Winter,23.56
