Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
27/12/23,S001,P0096,Toys,East,219,30,69,24.13,74.27,5,Snowy,1,75.39,Winter
27/12/23,S001,P0016,Clothing,East,50,48,38,50.22,91.59,0,Cloudy,0,87.22,Winter
27/12/23,S001,P0031,Electronics,East,83,82,118,70.72,122.84,20,Snowy,0,126.29,Winter
27/12/23,S001,P0159,Electronics,East,258,79,37,81.9,78.2,10,Cloudy,0,76.3,Winter
27/12/23,S001,P0129,Furniture,East,169,38,110,37.48,135.19,0,Sunny,0,139.19,Winter
27/12/23,S001,P0116,Furniture,East,28,25,73,24.97,115.66,20,Rainy,0,114.49,Winter
27/12/23,S001,P0070,Electronics,East,242,22,25,19.47,136.77,15,Snowy,0,140.95,Winter
27/12/23,S001,P0171,Electronics,East,53,18,95,19.22,139.38,15,Snowy,1,133.45,Winter
27/12/23,S001,P0175,Electronics,East,131,88,15,94.77,126.33,10,Snowy,0,127.65,Winter
27/12/23,S001,P0046,Clothing,East,156,76,85,63.84,143.3,15,Cloudy,1,146.96,Winter
27/12/23,S001,P0067,Furniture,East,74,51,60,47.35,98.85,15,Sunny,0,100.56,Winter
27/12/23,S001,P0183,Electronics,East,228,93,25,104.24,61.9,20,Sunny,1,61.35,Winter
27/12/23,S001,P0166,Groceries,East,169,121,125,133.02,81.54,15,Rainy,0,79.69,Winter
27/12/23,S001,P0079,Furniture,East,232,118,76,121.02,93.76,5,Rainy,0,97.07,Winter
27/12/23,S001,P0187,Clothing,East,175,77,29,87.8,127.67,20,Cloudy,0,122.43,Winter
27/12/23,S001,P0178,Clothing,East,219,20,143,19.19,125.57,15,Snowy,0,120.35,Winter
27/12/23,S001,P0057,Clothing,East,209,111,25,130.14,122.32,10,Snowy,0,117.71,Winter
27/12/23,S001,P0153,Furniture,East,297,145,119,158.54,73.8,0,Sunny,0,76.43,Winter
27/12/23,S001,P0083,Toys,East,27,7,53,6.95,110.79,15,Sunny,1,111.56,Winter
27/12/23,S001,P0069,Clothing,East,85,59,39,55.87,220.35,5,Sunny,0,216.12,Winter
27/12/23,S001,P0125,Clothing,East,139,18,14,15.13,109.95,20,Rainy,0,106.36,Winter
27/12/23,S001,P0017,Toys,East,82,12,109,13.08,98.38,0,Cloudy,0,94.72,Winter
27/12/23,S001,P0149,Furniture,East,228,101,14,93.51,117.13,20,Snowy,1,116.85,Winter
27/12/23,S001,P0094,Groceries,East,46,45,24,45.17,146.14,10,Snowy,0,144.0,Winter
27/12/23,S001,P0066,Clothing,East,291,113,3,110.88,140.16,10,Cloudy,0,141.76,Winter
27/12/23,S001,P0061,Clothing,East,29,6,44,6.41,151.61,15,Cloudy,1,148.24,Winter
27/12/23,S001,P0085,Electronics,East,149,107,35,111.85,146.99,20,Cloudy,0,151.76,Winter
27/12/23,S001,P0068,Electronics,East,52,33,18,38.1,140.17,10,Rainy,0,137.06,Winter
27/12/23,S001,P0126,Clothing,East,105,60,117,57.07,161.74,20,Cloudy,1,167.2,Winter
27/12/23,S001,P0133,Clothing,East,214,114,109,101.42,206.81,20,Snowy,1,214.0,Winter
27/12/23,S002,P0096,Toys,West,73,7,49,6.85,84.14,0,Sunny,0,85.27,Winter
27/12/23,S002,P0016,Clothing,West,154,3,100,3.36,99.88,0,Cloudy,0,104.01,Winter
27/12/23,S002,P0031,Electronics,West,284,116,22,136.05,118.73,15,Snowy,0,120.97,Winter
27/12/23,S002,P0159,Electronics,West,91,85,90,89.51,93.02,15,Cloudy,0,96.45,Winter
27/12/23,S002,P0129,Furniture,West,151,148,144,155.74,118.54,10,Snowy,0,122.26,Winter
27/12/23,S002,P0116,Furniture,West,51,31,9,30.9,126.06,15,Rainy,1,126.55,Winter
27/12/23,S002,P0070,Electronics,West,189,102,25,95.7,142.25,5,Cloudy,0,144.03,Winter
27/12/23,S002,P0171,Electronics,West,67,25,14,25.06,145.21,5,Sunny,0,142.08,Winter
27/12/23,S002,P0175,Electronics,West,269,13,115,13.87,103.92,0,Sunny,0,108.02,Winter
27/12/23,S002,P0046,Clothing,West,64,61,110,57.42,140.28,20,Rainy,0,145.14,Winter
27/12/23,S002,P0067,Furniture,West,55,11,22,10.48,89.68,20,Snowy,0,86.01,Winter
27/12/23,S002,P0183,Electronics,West,64,27,150,30.28,65.94,15,Cloudy,0,63.55,Winter
27/12/23,S002,P0166,Groceries,West,65,18,86,18.32,78.59,15,Sunny,1,76.18,Winter
27/12/23,S002,P0079,Furniture,West,219,23,35,21.36,107.05,15,Cloudy,1,106.6,Winter
27/12/23,S002,P0187,Clothing,West,42,40,5,32.56,129.19,5,Snowy,0,123.88,Winter
27/12/23,S002,P0178,Clothing,West,46,29,62,32.11,111.0,0,Snowy,0,116.13,Winter
27/12/23,S002,P0057,Clothing,West,214,138,98,140.89,111.38,5,Snowy,1,113.94,Winter
27/12/23,S002,P0153,Furniture,West,79,3,2,3.48,85.88,0,Rainy,0,82.8,Winter
27/12/23,S002,P0083,Toys,West,87,82,17,83.87,115.51,5,Snowy,1,110.76,Winter
27/12/23,S002,P0069,Clothing,West,242,127,134,107.97,221.66,10,Sunny,0,226.84,Winter
27/12/23,S002,P0125,Clothing,West,224,18,99,17.41,115.07,10,Rainy,0,115.74,Winter
27/12/23,S002,P0017,Toys,West,132,104,82,97.71,122.57,10,Cloudy,1,120.74,Winter
27/12/23,S002,P0149,Furniture,West,58,2,75,2.32,130.42,20,Snowy,0,124.47,Winter
27/12/23,S002,P0094,Groceries,West,217,83,131,94.49,147.65,20,Rainy,0,140.58,Winter
27/12/23,S002,P0066,Clothing,West,89,88,11,104.69,121.71,0,Rainy,1,120.58,Winter
27/12/23,S002,P0061,Clothing,West,58,23,142,19.78,179.55,10,Rainy,0,181.76,Winter
27/12/23,S002,P0085,Electronics,West,169,74,94,69.04,116.82,0,Sunny,0,121.91,Winter
27/12/23,S002,P0068,Electronics,West,88,65,70,53.89,131.77,0,Snowy,0,134.78,Winter
27/12/23,S002,P0126,Clothing,West,134,28,110,24.45,201.25,20,Rainy,0,201.94,Winter
27/12/23,S002,P0133,Clothing,West,286,97,0,100.93,207.09,5,Rainy,0,198.42,Winter
27/12/23,S003,P0096,Toys,North,114,30,150,33.08,73.97,5,Cloudy,0,74.36,Winter
27/12/23,S003,P0016,Clothing,North,287,136,6,148.72,86.51,15,Snowy,1,86.22,Winter
27/12/23,S003,P0031,Electronics,North,118,80,44,67.27,119.86,15,Snowy,0,117.97,Winter
27/12/23,S003,P0159,Electronics,North,81,56,86,58.79,95.73,20,Snowy,0,95.4,Winter
27/12/23,S003,P0129,Furniture,North,113,15,76,16.89,135.16,15,Cloudy,0,137.16,Winter
27/12/23,S003,P0116,Furniture,North,49,21,19,17.89,112.39,10,Snowy,0,110.77,Winter
27/12/23,S003,P0070,Electronics,North,41,10,55,9.37,141.52,15,Cloudy,0,144.25,Winter
27/12/23,S003,P0171,Electronics,North,66,24,77,22.21,161.51,10,Cloudy,0,168.99,Winter
27/12/23,S003,P0175,Electronics,North,294,49,108,53.9,105.94,20,Snowy,1,107.09,Winter
27/12/23,S003,P0046,Clothing,North,122,50,66,57.33,128.62,20,Cloudy,0,128.64,Winter
27/12/23,S003,P0067,Furniture,North,291,149,138,153.86,84.78,10,Snowy,0,81.41,Winter
27/12/23,S003,P0183,Electronics,North,178,13,18,13.11,69.81,10,Snowy,0,71.79,Winter
