Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
25/12/23,S001,P0096,Toys,East,132,111,11,111.59,76.92,20,Cloudy,0,79.17,Winter
25/12/23,S001,P0016,Clothing,East,282,25,121,27.04,95.96,5,Snowy,0,96.65,Winter
25/12/23,S001,P0031,Electronics,East,275,24,28,27.82,119.99,10,Snowy,0,121.43,Winter
25/12/23,S001,P0159,Electronics,East,107,4,78,4.11,83.14,5,Snowy,0,83.2,Winter
25/12/23,S001,P0129,Furniture,East,30,16,82,18.49,117.64,10,Cloudy,1,112.76,Winter
25/12/23,S001,P0116,Furniture,East,81,71,106,73.47,108.9,5,Cloudy,1,105.47,Winter
25/12/23,S001,P0070,Electronics,East,70,37,52,42.11,156.0,15,Cloudy,1,152.89,Winter
25/12/23,S001,P0171,Electronics,East,208,143,50,165.08,161.94,5,Rainy,1,154.73,Winter
25/12/23,S001,P0175,Electronics,East,24,18,126,16.23,107.47,10,Snowy,0,104.24,Winter
25/12/23,S001,P0046,Clothing,East,85,84,54,97.93,119.2,0,Rainy,0,114.72,Winter
25/12/23,S001,P0067,Furniture,East,198,29,107,32.43,82.44,5,Cloudy,0,81.65,Winter
25/12/23,S001,P0183,Electronics,East,100,30,95,34.6,76.9,5,Sunny,0,73.08,Winter
25/12/23,S001,P0166,Groceries,East,79,39,149,38.43,76.05,10,Rainy,1,79.34,Winter
25/12/23,S001,P0079,Furniture,East,234,121,82,113.2,98.03,5,Snowy,0,99.69,Winter
25/12/23,S001,P0187,Clothing,East,148,70,34,80.05,142.93,5,Cloudy,0,144.54,Winter
25/12/23,S001,P0178,Clothing,East,285,50,30,47.24,124.01,15,Rainy,0,130.01,Winter
25/12/23,S001,P0057,Clothing,East,236,46,26,47.27,112.47,10,Cloudy,0,117.09,Winter
25/12/23,S001,P0153,Furniture,East,46,16,136,13.17,66.21,0,Rainy,1,67.7,Winter
25/12/23,S001,P0083,Toys,East,178,13,95,11.28,97.96,15,Snowy,0,102.52,Winter
25/12/23,S001,P0069,Clothing,East,62,8,56,7.94,201.78,5,Rainy,0,205.53,Winter
25/12/23,S001,P0125,Clothing,East,38,29,82,28.65,122.6,10,Cloudy,0,128.21,Winter
25/12/23,S001,P0017,Toys,East,219,136,94,160.3,119.51,0,Snowy,0,122.98,Winter
25/12/23,S001,P0149,Furniture,East,287,54,0,50.52,153.07,10,Sunny,1,155.61,Winter
25/12/23,S001,P0094,Groceries,East,189,107,133,92.32,167.43,20,Cloudy,0,163.35,Winter
25/12/23,S001,P0066,Clothing,East,286,124,51,144.97,117.03,10,Rainy,0,115.73,Winter
25/12/23,S001,P0061,Clothing,East,133,91,65,96.94,192.3,20,Snowy,0,189.5,Winter
25/12/23,S001,P0085,Electronics,East,162,20,102,19.54,116.42,10,Sunny,1,118.31,Winter
25/12/23,S001,P0068,Electronics,East,223,5,120,5.62,110.91,0,Rainy,0,106.15,Winter
25/12/23,S001,P0126,Clothing,East,286,25,38,24.24,184.2,10,Snowy,1,177.28,Winter
25/12/23,S001,P0133,Clothing,East,71,48,123,56.19,181.7,0,Rainy,0,177.93,Winter
25/12/23,S002,P0096,Toys,West,28,17,77,20.2,94.07,10,Snowy,0,90.15,Winter
25/12/23,S002,P0016,Clothing,West,279,121,66,102.58,91.62,15,Cloudy,0,94.3,Winter
25/12/23,S002,P0031,Electronics,West,132,73,13,64.18,112.2,5,Cloudy,0,113.56,Winter
25/12/23,S002,P0159,Electronics,West,82,61,53,57.72,74.71,15,Sunny,1,71.62,Winter
25/12/23,S002,P0129,Furniture,West,189,138,95,165.26,129.56,5,Cloudy,1,131.49,Winter
25/12/23,S002,P0116,Furniture,West,77,31,36,32.5,102.89,10,Snowy,0,102.46,Winter
25/12/23,S002,P0070,Electronics,West,142,87,62,83.46,163.68,15,Snowy,0,160.04,Winter
25/12/23,S002,P0171,Electronics,West,32,3,90,2.92,175.94,15,Sunny,1,170.15,Winter
25/12/23,S002,P0175,Electronics,West,222,93,22,107.82,126.11,20,Cloudy,0,127.71,Winter
25/12/23,S002,P0046,Clothing,West,77,34,100,27.54,159.18,15,Cloudy,1,160.23,Winter
25/12/23,S002,P0067,Furniture,West,263,150,77,156.34,94.36,20,Snowy,0,90.01,Winter
25/12/23,S002,P0183,Electronics,West,250,28,5,27.51,62.36,20,Cloudy,0,64.2,Winter
25/12/23,S002,P0166,Groceries,West,190,19,67,20.78,88.42,20,Rainy,0,85.84,Winter
25/12/23,S002,P0079,Furniture,West,97,8,81,7.61,93.73,20,Sunny,0,98.12,Winter
25/12/23,S002,P0187,Clothing,West,287,21,87,20.68,141.03,10,Snowy,0,138.66,Winter
25/12/23,S002,P0178,Clothing,West,28,21,100,19.49,108.82,15,Snowy,0,107.87,Winter
25/12/23,S002,P0057,Clothing,West,103,92,79,101.79,119.93,10,Sunny,0,121.62,Winter
25/12/23,S002,P0153,Furniture,West,261,100,59,108.61,64.62,15,Snowy,0,67.74,Winter
25/12/23,S002,P0083,Toys,West,120,2,103,2.16,125.08,20,Cloudy,1,121.02,Winter
25/12/23,S002,P0069,Clothing,West,88,26,40,27.88,175.57,20,Sunny,0,183.75,Winter
25/12/23,S002,P0125,Clothing,West,234,123,16,128.55,110.23,5,Snowy,0,109.85,Winter
25/12/23,S002,P0017,Toys,West,145,112,28,132.82,107.31,5,Cloudy,1,110.98,Winter
25/12/23,S002,P0149,Furniture,West,214,22,92,17.69,134.79,10,Snowy,0,131.93,Winter
