Forecasted On,Date,Store ID,Product ID,Category,Region,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Demand Forecast
25/12/23,26/12/23,S001,P0096,Toys,East,88.82,10,Rainy,0,84.39,Winter,21.51
25/12/23,26/12/23,S001,P0016,Clothing,East,89.32,20,Sunny,1,90.22,Winter,25.21
25/12/23,26/12/23,S001,P0031,Electronics,East,120.17,0,Snowy,0,118.99,Winter,21.32
25/12/23,26/12/23,S001,P0159,Electronics,East,87.58,20,Rainy,1,90.39,Winter,37.59
25/12/23,26/12/23,S001,P0129,Furniture,East,121.29,5,Snowy,0,127.18,Winter,17.19
25/12/23,26/12/23,S001,P0116,Furniture,East,114.97,10,Rainy,1,117.09,Winter,24.53
25/12/23,26/12/23,S001,P0070,Electronics,East,166.82,5,Cloudy,0,160.41,Winter,15.7
25/12/23,26/12/23,S001,P0171,Electronics,East,165.48,20,Snowy,0,167.06,Winter,13.82
25/12/23,26/12/23,S001,P0175,Electronics,East,118.47,10,Cloudy,0,114.69,Winter,19.85
25/12/23,26/12/23,S001,P0046,Clothing,East,133.87,15,Sunny,0,128.04,Winter,15.21
25/12/23,26/12/23,S001,P0067,Furniture,East,90.57,5,Sunny,0,93.28,Winter,20.02
25/12/23,26/12/23,S001,P0183,Electronics,East,70.8,20,Rainy,0,67.38,Winter,34.86
25/12/23,26/12/23,S001,P0166,Groceries,East,86.53,20,Sunny,0,88.79,Winter,22.74
25/12/23,26/12/23,S001,P0079,Furniture,East,108.48,0,Snowy,0,110.55,Winter,18.08
25/12/23,26/12/23,S001,P0187,Clothing,East,139.37,0,Snowy,0,140.59,Winter,13.31
25/12/23,26/12/23,S001,P0178,Clothing,East,119.2,5,Rainy,1,120.96,Winter,22.57
25/12/23,26/12/23,S001,P0057,Clothing,East,127.78,20,Sunny,0,126.63,Winter,16.72
25/12/23,26/12/23,S001,P0153,Furniture,East,72.67,0,Rainy,0,69.8,Winter,27.66
25/12/23,26/12/23,S001,P0083,Toys,East,112.99,0,Rainy,0,114.3,Winter,18.13
25/12/23,26/12/23,S001,P0069,Clothing,East,203.15,20,Sunny,0,203.84,Winter,10.08
25/12/23,26/12/23,S001,P0125,Clothing,East,125.33,20,Sunny,0,129.0,Winter,15.11
25/12/23,26/12/23,S001,P0017,Toys,East,111.21,10,Cloudy,0,110.56,Winter,18.57
25/12/23,26/12/23,S001,P0149,Furniture,East,135.9,0,Sunny,0,134.41,Winter,14.62
25/12/23,26/12/23,S001,P0094,Groceries,East,166.31,0,Snowy,0,162.49,Winter,12.91
25/12/23,26/12/23,S001,P0066,Clothing,East,132.26,20,Snowy,0,128.21,Winter,14.31
25/12/23,26/12/23,S001,P0061,Clothing,East,174.23,10,Cloudy,1,182.74,Winter,13.13
25/12/23,26/12/23,S001,P0085,Electronics,East,127.08,5,Sunny,0,123.17,Winter,19.18
25/12/23,26/12/23,S001,P0068,Electronics,East,126.93,10,Rainy,0,133.07,Winter,17.55
25/12/23,26/12/23,S001,P0126,Clothing,East,182.04,5,Snowy,0,184.09,Winter,9.33
25/12/23,26/12/23,S001,P0133,Clothing,East,184.5,20,Snowy,0,176.02,Winter,9.12
25/12/23,26/12/23,S002,P0096,Toys,West,87.83,20,Sunny,0,84.33,Winter,24.78
25/12/23,26/12/23,S002,P0016,Clothing,West,91.54,0,Sunny,0,88.9,Winter,19.96
25/12/23,26/12/23,S002,P0031,Electronics,West,115.81,5,Cloudy,0,113.7,Winter,21.84
25/12/23,26/12/23,S002,P0159,Electronics,West,86.64,20,Rainy,0,85.03,Winter,27.17
25/12/23,26/12/23,S002,P0129,Furniture,West,115.94,10,Cloudy,0,117.13,Winter,15.47
25/12/23,26/12/23,S002,P0116,Furniture,West,109.68,10,Sunny,0,111.44,Winter,17.04
25/12/23,26/12/23,S002,P0070,Electronics,West,158.65,5,Cloudy,0,153.06,Winter,14.14
25/12/23,26/12/23,S002,P0171,Electronics,West,152.09,15,Rainy,0,144.7,Winter,14.31
25/12/23,26/12/23,S002,P0175,Electronics,West,122.13,20,Rainy,0,122.75,Winter,17.88
25/12/23,26/12/23,S002,P0046,Clothing,West,145.35,20,Rainy,0,147.83,Winter,15.96
25/12/23,26/12/23,S002,P0067,Furniture,West,92.2,0,Rainy,0,90.13,Winter,21.96
25/12/23,26/12/23,S002,P0183,Electronics,West,66.6,15,Rainy,0,67.13,Winter,32.59
25/12/23,26/12/23,S002,P0166,Groceries,West,87.17,5,Sunny,0,84.96,Winter,21.57
25/12/23,26/12/23,S002,P0079,Furniture,West,106.12,0,Sunny,0,108.65,Winter,18.18
25/12/23,26/12/23,S002,P0187,Clothing,West,139.31,0,Cloudy,0,137.25,Winter,12.0
25/12/23,26/12/23,S002,P0178,Clothing,West,114.53,20,Sunny,1,116.82,Winter,18.74
25/12/23,26/12/23,S002,P0057,Clothing,West,121.03,10,Snowy,0,120.12,Winter,15.8
25/12/23,26/12/23,S002,P0153,Furniture,West,74.75,15,Rainy,1,74.97,Winter,36.0
25/12/23,26/12/23,S002,P0083,Toys,West,104.69,0,Rainy,0,108.34,Winter,19.12
25/12/23,26/12/23,S002,P0069,Clothing,West,209.84,15,Snowy,0,217.78,Winter,9.59
25/12/23,26/12/23,S002,P0125,Clothing,West,120.18,20,Rainy,0,115.16,Winter,18.7
25/12/23,26/12/23,S002,P0017,Toys,West,107.31,10,Rainy,0,107.66,Winter,18.05
25/12/23,26/12/23,S002,P0149,Furniture,West,132.06,15,Snowy,0,131.03,Winter,14.12
25/12/23,26/12/23,S002,P0094,Groceries,West,156.73,5,Snowy,0,154.41,Winter,12.61
25/12/23,26/12/23,S002,P0066,Clothing,West,137.01,15,Sunny,0,135.84,Winter,13.7
25/12/23,26/12/23,S002,P0061,Clothing,West,168.17,10,Rainy,0,175.24,Winter,12.58
25/12/23,26/12/23,S002,P0085,Electronics,West,126.23,10,Cloudy,0,124.47,Winter,16.36
25/12/23,26/12/23,S002,P0068,Electronics,West,120.89,20,Sunny,0,118.33,Winter,19.72
25/12/23,26/12/23,S002,P0126,Clothing,West,187.79,5,Rainy,0,183.5,Winter,10.73
25/12/23,26/12/23,S002,P0133,Clothing,West,183.21,5,Snowy,0,182.52,Winter,9.23
25/12/23,26/12/23,S003,P0096,Toys,North,87.2,10,Sunny,0,85.82,Winter,21.48
25/12/23,26/12/23,S003,P0016,Clothing,North,94.44,0,Rainy,0,90.02,Winter,22.67
25/12/23,26/12/23,S003,P0031,Electronics,North,109.28,5,Cloudy,0,105.88,Winter,21.1
25/12/23,26/12/23,S003,P0159,Electronics,North,85.46,15,Rainy,1,87.68,Winter,32.39
25/12/23,26/12/23,S003,P0129,Furniture,North,124.35,10,Sunny,1,129.68,Winter,22.19
25/12/23,26/12/23,S003,P0116,Furniture,North,108.04,10,Sunny,0,111.71,Winter,16.72
25/12/23,26/12/23,S003,P0070,Electronics,North,153.96,10,Cloudy,0,157.75,Winter,14.35
25/12/23,26/12/23,S003,P0171,Electronics,North,165.63,20,Sunny,0,164.62,Winter,13.44
25/12/23,26/12/23,S003,P0175,Electronics,North,116.82,5,Cloudy,0,116.36,Winter,19.56
25/12/23,26/12/23,S003,P0046,Clothing,North,145.62,15,Snowy,0,145.31,Winter,13.66
25/12/23,26/12/23,S003,P0067,Furniture,North,88.58,0,Sunny,0,85.05,Winter,23.57
25/12/23,26/12/23,S003,P0183,Electronics,North,68.79,20,Snowy,0,65.9,Winter,33.55
25/12/23,26/12/23,S003,P0166,Groceries,North,86.42,0,Sunny,0,84.2,Winter,22.63
25/12/23,26/12/23,S003,P0079,Furniture,North,100.63,0,Cloudy,0,98.43,Winter,20.16
25/12/23,26/12/23,S003,P0187,Clothing,North,149.76,20,Cloudy,0,147.66,Winter,12.19
25/12/23,26/12/23,S003,P0178,Clothing,North,121.75,0,Snowy,0,121.03,Winter,14.77
25/12/23,26/12/23,S003,P0057,Clothing,North,128.21,5,Snowy,0,133.97,Winter,16.1
25/12/23,26/12/23,S003,P0153,Furniture,North,76.1,15,Cloudy,0,76.98,Winter,25.54
25/12/23,26/12/23,S003,P0083,Toys,North,106.22,20,Rainy,0,111.37,Winter,16.65
25/12/23,26/12/23,S003,P0069,Clothing,North,193.81,10,Cloudy,0,191.12,Winter,9.26
25/12/23,26/12/23,S003,P0125,Clothing,North,127.39,10,Cloudy,0,130.59,Winter,15.85
25/12/23,26/12/23,S003,P0017,Toys,North,106.44,20,Rainy,0,102.22,Winter,16.73
25/12/23,26/12/23,S003,P0149,Furniture,North,134.05,15,Rainy,0,139.61,Winter,13.06
25/12/23,26/12/23,S003,P0094,Groceries,North,164.54,0,Cloudy,0,157.07,Winter,12.26
25/12/23,26/12/23,S003,P0066,Clothing,North,136.87,10,Snowy,0,131.43,Winter,14.67
25/12/23,26/12/23,S003,P0061,Clothing,North,170.42,15,Cloudy,1,176.54,Winter,14.51
25/12/23,26/12/23,S003,P0085,Electronics,North,134.05,15,Rainy,0,137.78,Winter,17.2
25/12/23,26/12/23,S003,P0068,Electronics,North,127.61,20,Rainy,0,124.65,Winter,18.53
25/12/23,26/12/23,S003,P0126,Clothing,North,182.18,10,Rainy,1,189.41,Winter,15.29
25/12/23,26/12/23,S003,P0133,Clothing,North,183.95,0,Rainy,1,191.61,Winter,13.33
25/12/23,26/12/23,S004,P0096,Toys,South,88.23,10,Sunny,1,88.35,Winter,30.8
25/12/23,26/12/23,S004,P0016,Clothing,South,89.48,5,Cloudy,0,85.87,Winter,22.45
25/12/23,26/12/23,S004,P0031,Electronics,South,114.7,0,Cloudy,0,113.13,Winter,21.61
25/12/23,26/12/23,S004,P0159,Electronics,South,85.78,5,Snowy,1,82.59,Winter,39.14
25/12/23,26/12/23,S004,P0129,Furniture,South,122.66,5,Rainy,0,125.49,Winter,15.33
25/12/23,26/12/23,S004,P0116,Furniture,South,107.72,5,Snowy,1,103.02,Winter,21.95
25/12/23,26/12/23,S004,P0070,Electronics,South,160.29,10,Snowy,0,165.41,Winter,15.48
25/12/23,26/12/23,S004,P0171,Electronics,South,154.67,5,Snowy,1,155.75,Winter,17.24
25/12/23,26/12/23,S004,P0175,Electronics,South,118.27,20,Sunny,0,112.63,Winter,19.2
25/12/23,26/12/23,S004,P0046,Clothing,South,142.89,10,Cloudy,0,148.99,Winter,14.82
25/12/23,26/12/23,S004,P0067,Furniture,South,93.51,5,Cloudy,0,92.06,Winter,22.93
25/12/23,26/12/23,S004,P0183,Electronics,South,70.78,20,Cloudy,0,74.06,Winter,33.25
25/12/23,26/12/23,S004,P0166,Groceries,South,88.2,10,Rainy,1,83.8,Winter,29.69
25/12/23,26/12/23,S004,P0079,Furniture,South,105.76,20,Rainy,1,102.42,Winter,26.33
25/12/23,26/12/23,S004,P0187,Clothing,South,150.18,0,Sunny,0,152.09,Winter,12.86
25/12/23,26/12/23,S004,P0178,Clothing,South,117.34,10,Rainy,0,120.77,Winter,18.02
25/12/23,26/12/23,S004,P0057,Clothing,South,121.3,10,Snowy,0,123.56,Winter,15.56
25/12/23,26/12/23,S004,P0153,Furniture,South,78.28,20,Snowy,0,75.28,Winter,26.59
